time,bits/s
1574443942.291068,115590449.9805116
1574443942.391276,115453732.2161565
1574443942.494596,115546945.60048394
1574443942.594691,114400660.911101
1574443942.698347,116514345.52045605
1574443942.798406,119186402.18878792
1574443942.901943,111375782.31704761
1574443943.001998,118733565.48723415
1574443943.105988,112588183.61712477
1574443943.210099,114239921.33140528
1574443943.314173,115032516.82780023
1574443943.418167,115013156.35500179
1574443943.518259,118716017.30246173
1574443943.621969,113326585.11852968
1574443943.725828,114035751.24424031
1574443943.825933,119600386.31019734
1574443943.92942,111204687.7718316
1574443944.033568,115855667.5133679
1574443944.137474,114557087.48463999
1574443944.237562,116724808.97916731
1574443944.337641,117770363.00134662
1574443944.441289,110926509.46643192
1574443944.541393,118674149.04932456
1574443944.645115,111958401.18450925
1574443944.745446,117622643.6334252
1574443944.848848,112722635.79115161
1574443944.952888,115201698.10229905
1574443945.052983,119634025.88768888
1574443945.156677,111413770.61374055
1574443945.260502,115080944.39187199
1574443945.360589,119618629.1566381
1574443945.464248,110905324.11321068
1574443945.564295,118727621.16626139
1574443945.668028,111614469.29102223
1574443945.768088,118601327.67782368
1574443945.871976,112238598.80964255
1574443945.975942,114615742.86797926
1574443946.076025,118931781.8782001
1574443946.17986,112750119.96158388
1574443946.283888,114871935.1848779
1574443946.387929,115416850.21724606
1574443946.49187,115079411.67041607
1574443946.595948,115484564.74812968
1574443946.699734,114896504.65954249
1574443946.803778,115715249.73732057
1574443946.903907,119245943.42770818
1574443947.007356,111018326.10460494
1574443947.107484,119835657.92677464
1574443947.211165,110996691.29829663
1574443947.311222,118848269.7099153
1574443947.41514,111690498.87365656
1574443947.519121,115104537.4614439
1574443947.623306,116397466.79092948
1574443947.727161,114378111.65634309
1574443947.831169,115437760.79316767
1574443947.935223,115624815.96401477
1574443948.039092,114715248.03976096
1574443948.143136,115969360.8817719
1574443948.247152,115101369.82444295
1574443948.347226,119041912.27595411
1574443948.450861,110934934.80756412
1574443948.550981,118448517.11355773
1574443948.654726,112390091.58727889
1574443948.754796,119422612.11942974
1574443948.858326,111288716.64650524
1574443948.962229,115470658.14102903
1574443949.066341,115560700.79663444
1574443949.170454,115893363.49112105
1574443949.274328,114039155.8672108
1574443949.374384,119643436.95247176
1574443949.478105,111875738.92014068
1574443949.581885,114261740.9019871
1574443949.68195,119062343.54062049
1574443949.785806,112150722.38864109
1574443949.8859,118353038.74045897
1574443949.989473,111534129.71981691
1574443950.089547,118376739.14299881
1574443950.193337,112446480.01496623
1574443950.293422,119381913.0931285
1574443950.396832,111390105.45215179
1574443950.496874,119403539.89043851
1574443950.600511,112302220.68112732
1574443950.704447,114195185.85040958
1574443950.804531,119383335.66798697
1574443950.904629,114741195.17433204
1574443951.00792,111753674.74125461
1574443951.107977,118602458.57943755
1574443951.211977,111924735.52422798
1574443951.316132,115747556.41301459
1574443951.420257,114655610.07267295
1574443951.520332,118823340.32988265
1574443951.624083,111833807.0627883
1574443951.724197,118582388.2813206
1574443951.827856,111394303.42603672
1574443951.931794,114855335.14203027
1574443952.03191,119843940.04332626
1574443952.135286,111419144.34402569
1574443952.235352,118829288.43635671
1574443952.338782,111485968.39790422
1574443952.442686,115452896.11622578
1574443952.542747,119777531.94119695
1574443952.646154,111630450.9415233
